ID,Municipality,Target_URL,Note,Page_Title
1,滋賀県,https://www.pref.shiga.lg.jp/kensei/zaiseikaikei/yosan/,予算トップページ,予算・財政｜滋賀県ホームページ
2,大津市,https://www.city.otsu.lg.jp/soshiki/005/1207/g/zaisei/index.html,財政課トップ,財政／大津市
3,長浜市,https://www.city.nagahama.lg.jp/category/5-10-1-0-0-0-0-0-0-0.html,記事一覧ページ,予算・決算等 | 長浜市
4,京都市,https://www.city.kyoto.lg.jp/gyozai/category/176-0-0-0-0-0-0-0-0-0.html,財政ページ,予算・決算／京都市
5,京都市観光協会,https://www.kyokanko.or.jp/about-kta/disclosure/,情報公開ページ,京都市観光協会ディスクロージャー
6,宮津市,https://www.city.miyazu.kyoto.jp/soshiki/4/,財政課,宮津市財政
7,京丹後市,https://www.city.kyotango.lg.jp/top/soshiki/somu/zaisei/7/index.html,予算概要,予算概要／京丹後市
8,奈良市,https://www.city.nara.lg.jp/site/zaisei/,財政課トップ,奈良市財政課
9,奈良県,https://www.pref.nara.jp/13393.htm,財政課（新しいURL）,奈良県財政課
